component_name,correlation_r,abs_correlation,p_value
ecs_specific_layer_per_head_layer_27_head_14,0.21618,0.21618,0.00002
bos_attention_proportion_per_head_layer_14_head_12,0.21586,0.21586,0.00002
bos_attention_proportion_per_head_layer_2_head_13,-0.21554,0.21554,0.00002
ecs_specific_layer_per_head_layer_27_head_10,0.21452,0.21452,0.00002
cas_vs_current_layer_per_head_layer_27_head_25,0.21427,0.21427,0.00002
ecs_specific_layer_per_head_layer_27_head_29,0.21346,0.21346,0.00002
cas_vs_current_layer_per_head_layer_27_head_2,0.21345,0.21345,0.00002
ecs_specific_layer_per_head_layer_27_head_25,0.21322,0.21322,0.00003
ecs_specific_layer_per_head_layer_29_head_24,0.21286,0.21286,0.00003
bos_attention_proportion_per_head_layer_22_head_27,-0.21250,0.21250,0.00003
ecs_specific_layer_per_head_layer_29_head_0,0.21184,0.21184,0.00003
cos_sim_pre_post_ffn_per_layer_layer_11,0.21177,0.21177,0.00003
ecs_prompt_specific_layer_per_head_layer_29_head_22,0.21162,0.21162,0.00003
bos_attention_proportion_per_head_layer_28_head_6,-0.21088,0.21088,0.00003
ecs_specific_layer_per_head_layer_27_head_15,0.21081,0.21081,0.00003
bos_attention_proportion_per_head_layer_10_head_0,0.21022,0.21022,0.00003
cas_vs_current_layer_per_head_layer_28_head_22,0.21013,0.21013,0.00003
cos_sim_input_post_ffn_per_layer_layer_10,0.20970,0.20970,0.00003
ecs_specific_layer_per_head_layer_29_head_29,0.20963,0.20963,0.00003
cas_vs_current_layer_per_head_layer_26_head_20,0.20943,0.20943,0.00004
cas_vs_current_layer_per_head_layer_28_head_1,0.20938,0.20938,0.00004
ecs_specific_layer_per_head_layer_26_head_9,0.20931,0.20931,0.00004
cos_sim_input_post_ffn_per_layer_layer_11,0.20928,0.20928,0.00004
x_input_norm_per_layer_layer_15,0.20924,0.20924,0.00004
x_post_ffn_norm_per_layer_layer_14,0.20924,0.20924,0.00004
cas_vs_current_layer_per_head_layer_14_head_16,0.20921,0.20921,0.00004
bos_attention_proportion_per_head_layer_22_head_12,-0.20916,0.20916,0.00004
ecs_prompt_specific_layer_per_head_layer_29_head_29,0.20915,0.20915,0.00004
v_ffn_norm_per_layer_layer_29,-0.20895,0.20895,0.00004
cas_vs_current_layer_per_head_layer_27_head_30,0.20875,0.20875,0.00004
bos_attention_proportion_per_head_layer_2_head_28,0.20834,0.20834,0.00004
ecs_specific_layer_per_head_layer_29_head_15,0.20819,0.20819,0.00004
bos_attention_proportion_per_head_layer_5_head_18,0.20811,0.20811,0.00004
ecs_specific_layer_per_head_layer_26_head_11,0.20777,0.20777,0.00004
cas_vs_current_layer_per_head_layer_27_head_26,0.20771,0.20771,0.00004
ecs_specific_layer_per_head_layer_27_head_4,0.20724,0.20724,0.00004
cas_vs_current_layer_per_head_layer_27_head_8,0.20715,0.20715,0.00004
ecs_specific_layer_per_head_layer_29_head_25,0.20713,0.20713,0.00004
bos_attention_proportion_per_head_layer_15_head_6,0.20692,0.20692,0.00004
ecs_prompt_specific_layer_per_head_layer_27_head_6,0.20665,0.20665,0.00004
ecs_specific_layer_per_head_layer_29_head_12,0.20649,0.20649,0.00005
ecs_specific_layer_per_head_layer_27_head_3,0.20646,0.20646,0.00005
bos_attention_proportion_per_head_layer_26_head_8,-0.20629,0.20629,0.00005
ecs_specific_layer_per_head_layer_27_head_6,0.20609,0.20609,0.00005
bos_attention_proportion_per_head_layer_16_head_6,0.20576,0.20576,0.00005
cas_vs_current_layer_per_head_layer_29_head_27,0.20541,0.20541,0.00005
ecs_specific_layer_per_head_layer_26_head_21,0.20535,0.20535,0.00005
cas_vs_current_layer_per_head_layer_26_head_2,0.20531,0.20531,0.00005
ecs_specific_layer_per_head_layer_28_head_31,0.20470,0.20470,0.00005
ecs_prompt_specific_layer_per_head_layer_29_head_2,0.20438,0.20438,0.00005
ecs_specific_layer_per_head_layer_27_head_12,0.20432,0.20432,0.00005
ecs_specific_layer_per_head_layer_29_head_22,0.20405,0.20405,0.00006
ecs_specific_layer_per_head_layer_29_head_19,0.20390,0.20390,0.00006
ecs_specific_layer_per_head_layer_26_head_8,0.20377,0.20377,0.00006
ecs_specific_layer_per_head_layer_26_head_4,0.20367,0.20367,0.00006
cas_vs_current_layer_per_head_layer_28_head_27,0.20365,0.20365,0.00006
cas_vs_current_layer_per_head_layer_28_head_13,0.20355,0.20355,0.00006
ecs_specific_layer_per_head_layer_14_head_0,0.20349,0.20349,0.00006
cos_sim_pre_post_ffn_per_layer_layer_15,0.20347,0.20347,0.00006
ecs_prompt_specific_layer_per_head_layer_29_head_16,0.20343,0.20343,0.00006
bos_attention_proportion_per_head_layer_15_head_10,0.20339,0.20339,0.00006
cas_vs_current_layer_per_head_layer_28_head_24,0.20326,0.20326,0.00006
ecs_prompt_specific_layer_per_head_layer_27_head_4,0.20320,0.20320,0.00006
bos_attention_proportion_per_head_layer_5_head_29,0.20313,0.20313,0.00006
ecs_specific_layer_per_head_layer_29_head_1,0.20305,0.20305,0.00006
cas_vs_current_layer_per_head_layer_26_head_25,0.20304,0.20304,0.00006
cas_vs_current_layer_per_head_layer_27_head_9,0.20296,0.20296,0.00006
cas_vs_current_layer_per_head_layer_26_head_18,0.20280,0.20280,0.00006
cos_sim_pre_post_ffn_per_layer_layer_26,0.20276,0.20276,0.00006
ecs_specific_layer_per_head_layer_26_head_5,0.20267,0.20267,0.00006
cas_vs_current_layer_per_head_layer_29_head_16,0.20265,0.20265,0.00006
ecs_specific_layer_per_head_layer_29_head_16,0.20259,0.20259,0.00006
parameter_knowledge_difference_layer_13,-0.20255,0.20255,0.00006
ecs_specific_layer_per_head_layer_14_head_11,0.20244,0.20244,0.00006
ecs_specific_layer_per_head_layer_27_head_13,0.20230,0.20230,0.00007
ecs_specific_layer_per_head_layer_26_head_18,0.20211,0.20211,0.00007
ecs_specific_layer_per_head_layer_27_head_2,0.20210,0.20210,0.00007
ecs_specific_layer_per_head_layer_26_head_6,0.20196,0.20196,0.00007
ecs_specific_layer_per_head_layer_29_head_3,0.20190,0.20190,0.00007
bos_attention_proportion_per_head_layer_14_head_10,0.20137,0.20137,0.00007
bos_attention_proportion_per_head_layer_27_head_29,-0.20129,0.20129,0.00007
ecs_specific_layer_per_head_layer_27_head_30,0.20110,0.20110,0.00007
cas_vs_current_layer_per_head_layer_29_head_10,0.20102,0.20102,0.00007
ecs_specific_layer_per_head_layer_26_head_10,0.20090,0.20090,0.00007
ecs_prompt_specific_layer_per_head_layer_29_head_7,0.20084,0.20084,0.00007
ecs_specific_layer_per_head_layer_26_head_31,0.20069,0.20069,0.00007
ecs_specific_layer_per_head_layer_27_head_8,0.20036,0.20036,0.00008
ecs_specific_layer_per_head_layer_29_head_14,0.20015,0.20015,0.00008
ecs_specific_layer_per_head_layer_27_head_11,0.19979,0.19979,0.00008
ecs_prompt_specific_layer_per_head_layer_26_head_17,0.19968,0.19968,0.00008
bos_attention_proportion_per_head_layer_6_head_23,-0.19941,0.19941,0.00008
cas_vs_current_layer_per_head_layer_28_head_9,0.19930,0.19930,0.00008
bos_attention_proportion_per_head_layer_13_head_22,-0.19929,0.19929,0.00008
ecs_prompt_specific_layer_per_head_layer_27_head_2,0.19884,0.19884,0.00009
cas_vs_current_layer_per_head_layer_27_head_21,0.19884,0.19884,0.00009
cas_vs_current_layer_per_head_layer_26_head_27,0.19867,0.19867,0.00009
ecs_specific_layer_per_head_layer_26_head_12,0.19858,0.19858,0.00009
ecs_specific_layer_per_head_layer_26_head_19,0.19856,0.19856,0.00009
ecs_specific_layer_per_head_layer_29_head_9,0.19841,0.19841,0.00009
ecs_prompt_specific_layer_per_head_layer_29_head_28,0.19836,0.19836,0.00009
ecs_specific_layer_per_head_layer_27_head_9,0.19832,0.19832,0.00009
ecs_prompt_specific_layer_per_head_layer_29_head_30,0.19826,0.19826,0.00009
ecs_prompt_specific_layer_per_head_layer_27_head_7,0.19824,0.19824,0.00009
ecs_specific_layer_per_head_layer_27_head_19,0.19821,0.19821,0.00009
ecs_specific_layer_per_head_layer_29_head_13,0.19808,0.19808,0.00009
ecs_prompt_specific_layer_per_head_layer_27_head_29,0.19806,0.19806,0.00009
ecs_specific_layer_per_head_layer_29_head_23,0.19802,0.19802,0.00009
bos_attention_proportion_per_head_layer_8_head_13,0.19760,0.19760,0.00010
ecs_prompt_specific_layer_per_head_layer_29_head_31,0.19748,0.19748,0.00010
ecs_prompt_specific_layer_per_head_layer_29_head_21,0.19735,0.19735,0.00010
ecs_prompt_specific_layer_per_head_layer_27_head_5,0.19710,0.19710,0.00010
ecs_prompt_specific_layer_per_head_layer_29_head_19,0.19705,0.19705,0.00010
ecs_prompt_specific_layer_per_head_layer_29_head_12,0.19682,0.19682,0.00010
cas_vs_current_layer_per_head_layer_26_head_23,0.19676,0.19676,0.00010
attention_entropy_per_head_layer_27_head_30,-0.19672,0.19672,0.00010
ecs_specific_layer_per_head_layer_26_head_7,0.19660,0.19660,0.00011
v_ffn_norm_per_layer_layer_26,-0.19651,0.19651,0.00011
ecs_prompt_specific_layer_per_head_layer_29_head_20,0.19647,0.19647,0.00011
ecs_specific_layer_per_head_layer_26_head_20,0.19637,0.19637,0.00011
ecs_specific_layer_per_head_layer_30_head_13,0.19637,0.19637,0.00011
cas_vs_current_layer_per_head_layer_28_head_17,0.19636,0.19636,0.00011
bos_attention_proportion_per_head_layer_16_head_12,0.19616,0.19616,0.00011
ecs_specific_layer_per_head_layer_29_head_6,0.19611,0.19611,0.00011
v_attn_norm_per_layer_layer_15,-0.19603,0.19603,0.00011
ecs_specific_layer_per_head_layer_28_head_28,0.19602,0.19602,0.00011
ecs_specific_layer_per_head_layer_28_head_7,0.19600,0.19600,0.00011
ecs_specific_layer_per_head_layer_26_head_13,0.19597,0.19597,0.00011
cas_vs_current_layer_per_head_layer_28_head_31,0.19597,0.19597,0.00011
cas_vs_current_layer_per_head_layer_26_head_28,0.19593,0.19593,0.00011
cas_vs_current_layer_per_head_layer_26_head_29,0.19559,0.19559,0.00011
cos_sim_input_pre_ffn_per_layer_layer_19,0.19551,0.19551,0.00012
cas_vs_current_layer_per_head_layer_28_head_21,0.19549,0.19549,0.00012
ecs_prompt_specific_layer_per_head_layer_27_head_8,0.19543,0.19543,0.00012
ecs_specific_layer_per_head_layer_26_head_23,0.19535,0.19535,0.00012
ecs_specific_layer_per_head_layer_27_head_7,0.19535,0.19535,0.00012
bos_attention_proportion_per_head_layer_7_head_0,0.19520,0.19520,0.00012
cas_vs_current_layer_per_head_layer_26_head_22,0.19519,0.19519,0.00012
ecs_specific_layer_per_head_layer_14_head_9,0.19513,0.19513,0.00012
ecs_prompt_specific_layer_per_head_layer_26_head_19,0.19493,0.19493,0.00012
ecs_prompt_specific_layer_per_head_layer_26_head_11,0.19488,0.19488,0.00012
cas_vs_current_layer_per_head_layer_28_head_4,0.19467,0.19467,0.00012
ecs_prompt_specific_layer_per_head_layer_29_head_9,0.19457,0.19457,0.00012
ecs_prompt_specific_layer_per_head_layer_26_head_8,0.19447,0.19447,0.00013
ecs_prompt_specific_layer_per_head_layer_26_head_9,0.19446,0.19446,0.00013
ecs_specific_layer_per_head_layer_26_head_2,0.19439,0.19439,0.00013
ecs_specific_layer_per_head_layer_29_head_30,0.19430,0.19430,0.00013
ecs_specific_layer_per_head_layer_26_head_25,0.19423,0.19423,0.00013
ecs_specific_layer_per_head_layer_26_head_29,0.19403,0.19403,0.00013
ecs_specific_layer_per_head_layer_26_head_16,0.19400,0.19400,0.00013
ecs_specific_layer_per_head_layer_29_head_18,0.19398,0.19398,0.00013
cas_vs_current_layer_per_head_layer_29_head_20,0.19393,0.19393,0.00013
ecs_prompt_specific_layer_per_head_layer_29_head_15,0.19393,0.19393,0.00013
ecs_prompt_specific_layer_per_head_layer_26_head_21,0.19363,0.19363,0.00013
ecs_specific_layer_per_head_layer_28_head_27,0.19336,0.19336,0.00014
ecs_prompt_specific_layer_per_head_layer_29_head_14,0.19294,0.19294,0.00014
ecs_prompt_specific_layer_per_head_layer_26_head_12,0.19287,0.19287,0.00014
cas_vs_current_layer_per_head_layer_14_head_18,0.19277,0.19277,0.00014
ecs_specific_layer_per_head_layer_27_head_5,0.19276,0.19276,0.00014
bos_attention_proportion_per_head_layer_11_head_25,0.19265,0.19265,0.00015
ecs_specific_layer_per_head_layer_26_head_26,0.19262,0.19262,0.00015
cos_sim_input_pre_ffn_per_layer_layer_16,0.19260,0.19260,0.00015
bos_attention_proportion_per_head_layer_28_head_2,-0.19254,0.19254,0.00015
cas_vs_current_layer_per_head_layer_26_head_1,0.19249,0.19249,0.00015
ecs_prompt_specific_layer_per_head_layer_30_head_13,0.19238,0.19238,0.00015
cas_alt_vs_current_layer_per_head_layer_28_head_23,-0.19229,0.19229,0.00015
ecs_specific_layer_per_head_layer_14_head_25,0.19227,0.19227,0.00015
cas_vs_current_layer_per_head_layer_29_head_14,0.19220,0.19220,0.00015
ecs_prompt_specific_layer_per_head_layer_26_head_16,0.19210,0.19210,0.00015
cas_vs_final_layer_per_head_layer_0_head_26,0.19199,0.19199,0.00015
bos_attention_proportion_per_head_layer_28_head_12,-0.19195,0.19195,0.00015
bos_attention_proportion_per_head_layer_23_head_14,-0.19192,0.19192,0.00015
bos_attention_proportion_per_head_layer_28_head_25,-0.19185,0.19185,0.00016
v_ffn_norm_per_layer_layer_12,-0.19178,0.19178,0.00016
ecs_specific_layer_per_head_layer_28_head_9,0.19176,0.19176,0.00016
ecs_specific_layer_per_head_layer_27_head_21,0.19162,0.19162,0.00016
cas_vs_current_layer_per_head_layer_27_head_31,0.19152,0.19152,0.00016
ecs_specific_layer_per_head_layer_29_head_28,0.19146,0.19146,0.00016
ecs_prompt_specific_layer_per_head_layer_26_head_13,0.19129,0.19129,0.00016
ecs_prompt_specific_layer_per_head_layer_29_head_4,0.19127,0.19127,0.00016
bos_attention_proportion_per_head_layer_23_head_16,-0.19126,0.19126,0.00016
ecs_specific_layer_per_head_layer_27_head_18,0.19123,0.19123,0.00016
ecs_specific_layer_per_head_layer_26_head_28,0.19112,0.19112,0.00016
ecs_specific_layer_per_head_layer_26_head_15,0.19105,0.19105,0.00017
ecs_specific_layer_per_head_layer_29_head_20,0.19086,0.19086,0.00017
v_attn_norm_per_layer_layer_16,-0.19076,0.19076,0.00017
ecs_specific_layer_per_head_layer_29_head_21,0.19074,0.19074,0.00017
ecs_prompt_specific_layer_per_head_layer_26_head_31,0.19070,0.19070,0.00017
ecs_prompt_specific_layer_per_head_layer_28_head_13,0.19068,0.19068,0.00017
ecs_prompt_specific_layer_per_head_layer_27_head_3,0.19067,0.19067,0.00017
ecs_prompt_specific_layer_per_head_layer_26_head_18,0.19062,0.19062,0.00017
ecs_specific_layer_per_head_layer_25_head_24,0.19038,0.19038,0.00017
ecs_specific_layer_per_head_layer_26_head_22,0.19035,0.19035,0.00018
cas_vs_current_layer_per_head_layer_29_head_31,0.19033,0.19033,0.00018
cas_alt_vs_current_layer_per_head_layer_21_head_8,-0.19031,0.19031,0.00018
cas_vs_current_layer_per_head_layer_27_head_22,0.19030,0.19030,0.00018
ecs_specific_layer_per_head_layer_14_head_3,0.19014,0.19014,0.00018
ecs_specific_layer_per_head_layer_29_head_17,0.19001,0.19001,0.00018
cas_alt_vs_current_layer_per_head_layer_17_head_0,-0.18979,0.18979,0.00018
ecs_specific_layer_per_head_layer_26_head_3,0.18961,0.18961,0.00019
ecs_specific_layer_per_head_layer_27_head_17,0.18961,0.18961,0.00019
ecs_specific_layer_per_head_layer_14_head_21,0.18958,0.18958,0.00019
ecs_prompt_specific_layer_per_head_layer_29_head_18,0.18957,0.18957,0.00019
ecs_specific_layer_per_head_layer_26_head_14,0.18951,0.18951,0.00019
ecs_specific_layer_per_head_layer_14_head_28,0.18949,0.18949,0.00019
ecs_prompt_specific_layer_per_head_layer_26_head_6,0.18923,0.18923,0.00019
cos_sim_pre_post_ffn_per_layer_layer_12,0.18922,0.18922,0.00019
attention_entropy_per_head_layer_11_head_20,-0.18912,0.18912,0.00019
cas_vs_current_layer_per_head_layer_29_head_12,0.18902,0.18902,0.00019
bos_attention_proportion_per_head_layer_3_head_3,0.18901,0.18901,0.00020
bos_attention_proportion_per_head_layer_24_head_11,-0.18899,0.18899,0.00020
ecs_prompt_specific_layer_per_head_layer_27_head_11,0.18894,0.18894,0.00020
cas_vs_current_layer_per_head_layer_28_head_12,0.18887,0.18887,0.00020
ecs_prompt_specific_layer_per_head_layer_26_head_5,0.18887,0.18887,0.00020
ecs_specific_layer_per_head_layer_27_head_26,0.18883,0.18883,0.00020
ecs_prompt_specific_layer_per_head_layer_27_head_9,0.18870,0.18870,0.00020
cas_vs_current_layer_per_head_layer_28_head_7,0.18860,0.18860,0.00020
cas_alt_vs_current_layer_per_head_layer_21_head_22,-0.18854,0.18854,0.00020
ecs_prompt_specific_layer_per_head_layer_26_head_15,0.18847,0.18847,0.00020
ecs_specific_layer_per_head_layer_28_head_10,0.18834,0.18834,0.00021
ecs_specific_layer_per_head_layer_14_head_26,0.18822,0.18822,0.00021
ecs_specific_layer_per_head_layer_27_head_1,0.18808,0.18808,0.00021
ecs_specific_layer_per_head_layer_29_head_8,0.18803,0.18803,0.00021
ecs_prompt_specific_layer_per_head_layer_27_head_25,0.18768,0.18768,0.00022
bos_attention_proportion_per_head_layer_11_head_1,0.18765,0.18765,0.00022
cas_vs_final_layer_per_head_layer_0_head_24,0.18754,0.18754,0.00022
ecs_prompt_specific_layer_per_head_layer_26_head_10,0.18747,0.18747,0.00022
cas_vs_current_layer_per_head_layer_28_head_10,0.18743,0.18743,0.00022
ecs_prompt_specific_layer_per_head_layer_29_head_23,0.18730,0.18730,0.00022
ecs_specific_layer_per_head_layer_26_head_24,0.18717,0.18717,0.00023
ecs_prompt_specific_layer_per_head_layer_27_head_14,0.18708,0.18708,0.00023
ecs_specific_layer_per_head_layer_28_head_4,0.18707,0.18707,0.00023
cas_vs_current_layer_per_head_layer_27_head_23,0.18700,0.18700,0.00023
cas_vs_current_layer_per_head_layer_28_head_19,0.18685,0.18685,0.00023
cas_vs_current_layer_per_head_layer_28_head_25,0.18669,0.18669,0.00023
cas_alt_vs_current_layer_per_head_layer_18_head_8,-0.18666,0.18666,0.00023
ecs_prompt_specific_layer_per_head_layer_27_head_21,0.18661,0.18661,0.00024
cas_alt_vs_current_layer_per_head_layer_19_head_18,-0.18659,0.18659,0.00024
ecs_prompt_specific_layer_per_head_layer_27_head_19,0.18658,0.18658,0.00024
ecs_specific_layer_per_head_layer_28_head_1,0.18658,0.18658,0.00024
bos_attention_proportion_per_head_layer_17_head_28,-0.18651,0.18651,0.00024
ecs_specific_layer_per_head_layer_27_head_23,0.18643,0.18643,0.00024
ecs_prompt_specific_layer_per_head_layer_29_head_5,0.18639,0.18639,0.00024
ecs_specific_layer_per_head_layer_29_head_31,0.18638,0.18638,0.00024
cas_vs_current_layer_per_head_layer_28_head_26,0.18632,0.18632,0.00024
cas_vs_current_layer_per_head_layer_26_head_12,0.18631,0.18631,0.00024
ecs_specific_layer_per_head_layer_28_head_25,0.18628,0.18628,0.00024
cas_vs_current_layer_per_head_layer_29_head_5,0.18620,0.18620,0.00024
bos_attention_proportion_per_head_layer_25_head_22,-0.18615,0.18615,0.00024
ecs_prompt_specific_layer_per_head_layer_26_head_4,0.18612,0.18612,0.00025
cas_vs_current_layer_per_head_layer_27_head_27,0.18610,0.18610,0.00025
ecs_prompt_specific_layer_per_head_layer_13_head_19,0.18607,0.18607,0.00025
cas_vs_final_layer_per_head_layer_0_head_23,0.18604,0.18604,0.00025
cas_vs_current_layer_per_head_layer_29_head_13,0.18604,0.18604,0.00025
ecs_specific_layer_per_head_layer_11_head_25,0.18595,0.18595,0.00025
ecs_specific_layer_per_head_layer_27_head_20,0.18594,0.18594,0.00025
attention_entropy_per_head_layer_1_head_8,-0.18581,0.18581,0.00025
ecs_specific_layer_per_head_layer_27_head_0,0.18580,0.18580,0.00025
v_ffn_norm_per_layer_layer_15,-0.18570,0.18570,0.00025
cas_vs_current_layer_per_head_layer_26_head_0,0.18566,0.18566,0.00025
ecs_prompt_specific_layer_per_head_layer_29_head_6,0.18542,0.18542,0.00026
cas_vs_final_layer_per_head_layer_0_head_7,0.18526,0.18526,0.00026
ecs_prompt_specific_layer_per_head_layer_28_head_31,0.18524,0.18524,0.00026
ecs_specific_layer_per_head_layer_28_head_5,0.18521,0.18521,0.00026
ecs_specific_layer_per_head_layer_29_head_10,0.18502,0.18502,0.00027
cas_vs_current_layer_per_head_layer_18_head_4,0.18501,0.18501,0.00027
ecs_prompt_specific_layer_per_head_layer_28_head_26,0.18493,0.18493,0.00027
ecs_prompt_specific_layer_per_head_layer_27_head_30,0.18486,0.18486,0.00027
ecs_prompt_specific_layer_per_head_layer_26_head_23,0.18479,0.18479,0.00027
cas_vs_current_layer_per_head_layer_28_head_3,0.18469,0.18469,0.00027
bos_attention_proportion_per_head_layer_7_head_3,0.18455,0.18455,0.00028
ecs_specific_layer_per_head_layer_28_head_24,0.18454,0.18454,0.00028
ecs_prompt_specific_layer_per_head_layer_29_head_8,0.18442,0.18442,0.00028
cas_alt_vs_current_layer_per_head_layer_23_head_25,-0.18440,0.18440,0.00028
ecs_prompt_specific_layer_per_head_layer_26_head_14,0.18439,0.18439,0.00028
cas_vs_current_layer_per_head_layer_26_head_14,0.18439,0.18439,0.00028
cas_vs_current_layer_per_head_layer_26_head_24,0.18434,0.18434,0.00028
bos_attention_proportion_per_head_layer_6_head_18,0.18430,0.18430,0.00028
ecs_specific_layer_per_head_layer_13_head_13,0.18424,0.18424,0.00028
ecs_specific_layer_per_head_layer_28_head_26,0.18410,0.18410,0.00029
cas_vs_current_layer_per_head_layer_26_head_26,0.18394,0.18394,0.00029
ecs_specific_layer_per_head_layer_27_head_31,0.18379,0.18379,0.00029
ecs_prompt_specific_layer_per_head_layer_27_head_20,0.18379,0.18379,0.00029
cas_vs_current_layer_per_head_layer_28_head_15,0.18368,0.18368,0.00030
ecs_prompt_specific_layer_per_head_layer_28_head_7,0.18364,0.18364,0.00030
ecs_prompt_specific_layer_per_head_layer_26_head_25,0.18362,0.18362,0.00030
cas_vs_current_layer_per_head_layer_20_head_23,0.18360,0.18360,0.00030
ecs_prompt_specific_layer_per_head_layer_29_head_17,0.18359,0.18359,0.00030
ecs_prompt_specific_layer_per_head_layer_26_head_27,0.18350,0.18350,0.00030
cas_vs_final_layer_per_head_layer_0_head_4,0.18347,0.18347,0.00030
cas_vs_current_layer_per_head_layer_29_head_24,0.18343,0.18343,0.00030
ecs_prompt_specific_layer_per_head_layer_28_head_19,0.18329,0.18329,0.00031
cas_alt_vs_current_layer_per_head_layer_22_head_6,-0.18327,0.18327,0.00031
ecs_prompt_specific_layer_per_head_layer_26_head_7,0.18323,0.18323,0.00031
ecs_prompt_specific_layer_per_head_layer_27_head_31,0.18309,0.18309,0.00031
ecs_specific_layer_per_head_layer_14_head_20,0.18302,0.18302,0.00031
cas_vs_current_layer_per_head_layer_30_head_13,0.18301,0.18301,0.00031
cas_vs_final_layer_per_head_layer_0_head_25,0.18298,0.18298,0.00031
ecs_prompt_specific_layer_per_head_layer_26_head_3,0.18292,0.18292,0.00031
cas_vs_current_layer_per_head_layer_28_head_11,0.18280,0.18280,0.00032
cas_vs_current_layer_per_head_layer_30_head_28,0.18277,0.18277,0.00032
ecs_specific_layer_per_head_layer_28_head_11,0.18270,0.18270,0.00032
