uid,model,rater,label,llm_label
llama3.2-3b_365_8,llama3.2-3b,annotator2,1,0
llama3.2-3b_377_27,llama3.2-3b,annotator2,1,1
llama3.2-3b_380_4,llama3.2-3b,annotator2,1,1
llama3.2-3b_377_10,llama3.2-3b,annotator2,1,1
llama3.2-3b_303_1,llama3.2-3b,annotator2,1,1
llama3.2-3b_382_26,llama3.2-3b,annotator2,1,1
llama3.2-3b_334_1_7,llama3.2-3b,annotator2,0,0
llama3.2-3b_303_4,llama3.2-3b,annotator2,1,1
llama3.2-3b_335_32,llama3.2-3b,annotator2,0,0
llama3.2-3b_351_64,llama3.2-3b,annotator2,1,1
llama3.2-3b_388_1_2,llama3.2-3b,annotator2,1,1
llama3.2-3b_365_29,llama3.2-3b,annotator2,1,1
llama3.2-3b_367_19,llama3.2-3b,annotator2,1,1
llama3.2-3b_372_2,llama3.2-3b,annotator2,1,1
llama3.2-3b_335_3,llama3.2-3b,annotator2,1,1
llama3.2-3b_377_1_24,llama3.2-3b,annotator2,0,0
llama3.2-3b_365_19,llama3.2-3b,annotator2,1,1
llama3.2-3b_352_1_9,llama3.2-3b,annotator2,0,0
llama3.2-3b_372_17,llama3.2-3b,annotator2,1,1
llama3.2-3b_388_10,llama3.2-3b,annotator2,1,1
llama3.2-3b_335_0,llama3.2-3b,annotator2,1,1
llama3.2-3b_372_15,llama3.2-3b,annotator2,0,1
llama3.2-3b_377_1_5,llama3.2-3b,annotator2,1,1
