Test_Data_Scope,k_percent,Classifier,Model_Combination,Mechanistic_Concept,Most_Important_Feature,MannWhitneyU_statistic,p_value,Is_Significant_p<0.05
Full_Single_Fold,25,EBM,Ours 2,BAS,bos_attention_proportion_per_head_fft_mag_1,258.00000,0.04539,Yes
Confident_Single_Fold,25,EBM,Ours 2,BAS,bos_attention_proportion_per_head_fft_mag_1,80.00000,0.00057,Yes
Full_Single_Fold,25,EBM,Ours 2,CAS,cas_alt_vs_final_layer_per_head_std,167.00000,0.74689,No
Confident_Single_Fold,25,EBM,Ours 2,CAS,cas_alt_vs_final_layer_per_head_std,43.00000,0.85982,No
Full_Single_Fold,25,EBM,Ours 2,PAS,pos_cos_similarity_per_layer_fft_mag_2,172.00000,0.84645,No
Confident_Single_Fold,25,EBM,Ours 2,PAS,pos_cos_similarity_per_layer_fft_mag_2,36.00000,0.72393,No
Full_Single_Fold,25,EBM,Ours 2,PFS,v_ffn_norm_per_layer_fft_mag_2,288.00000,0.00551,Yes
Confident_Single_Fold,25,EBM,Ours 2,PFS,v_ffn_norm_per_layer_fft_mag_2,80.00000,0.00057,Yes
Full_All_Folds,25,EBM,Ours 2,BAS,bos_attention_proportion_per_head_fft_mag_1,2314594.00000,0.00000,Yes
Confident_All_Folds,25,EBM,Ours 2,BAS,bos_attention_proportion_per_head_fft_mag_1,77.00000,0.04515,Yes
Full_All_Folds,25,EBM,Ours 2,CAS,cas_alt_vs_final_layer_per_head_std,1939352.00000,0.00000,Yes
Confident_All_Folds,25,EBM,Ours 2,CAS,cas_alt_vs_final_layer_per_head_std,85.00000,0.00911,Yes
Full_All_Folds,25,EBM,Ours 2,PAS,pos_cos_similarity_per_layer_fft_mag_2,1662126.00000,0.00953,Yes
Confident_All_Folds,25,EBM,Ours 2,PAS,pos_cos_similarity_per_layer_fft_mag_2,28.00000,0.10411,No
Full_All_Folds,25,EBM,Ours 2,PFS,v_ffn_norm_per_layer_fft_mag_2,1991333.00000,0.00000,Yes
Confident_All_Folds,25,EBM,Ours 2,PFS,v_ffn_norm_per_layer_fft_mag_2,59.00000,0.52052,No
